ruledefaultname,monitorInstance,time,minvalue,avgvalue,maxvalue,server,serverid,metric,type,external id,unit
Percent Memory Used,_self,2017-11-10T12:00:00Z,65.72053131,67.97897209,87.20623818,CGCAPP379PD,CGCAPP379PD,Memory Utilization,Baseline,CGCAPP379PD-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,52.08246508,52.12993772,52.24115936,CGCAPP916PD.hq.huskyenergy.com,CGCAPP916PD,Memory Utilization,Baseline,CGCAPP916PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,14.89492648,15.0384349,16.55138006,CGCLCA332PD.hq.huskyenergy.com,CGCLCA332PD,Memory Utilization,Baseline,CGCLCA332PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,47.54767224,47.64881514,47.801102,CGCLFA325PD.hq.huskyenergy.com,CGCLFA325PD,Memory Utilization,Baseline,CGCLFA325PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,57.28527571,58.70950677,72.43502502,CGCNWR382PD.hq.huskyenergy.com,CGCNWR382PD,Memory Utilization,Baseline,CGCNWR382PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,76.2425343,76.62506287,99.95116657,CGCSAP278PD.hq.huskyenergy.com,CGCSAP278PD,Memory Utilization,Baseline,CGCSAP278PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,97.19223018,97.66135446,99.97558461,CGCSQL681PD.hq.huskyenergy.com,CGCSQL681PD,Memory Utilization,Baseline,CGCSQL681PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,4.019941486,4.098779178,4.268661689,CGCSQL688PD.hq.huskyenergy.com,CGCSQL688PD,Memory Utilization,Baseline,CGCSQL688PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,66.54906573,68.20635198,77.1215143,CGHAPP994PD.hq.huskyenergy.com,CGHAPP994PD,Memory Utilization,Baseline,CGHAPP994PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,17.61361665,17.65573149,17.89743402,cgwapp004pd.hq.huskyenergy.com,cgwapp004pd,Memory Utilization,Baseline,cgwapp004pd.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,15.78138229,16.02552961,16.4588911,CGWAPP1085PD.hq.huskyenergy.com,CGWAPP1085PD,Memory Utilization,Baseline,CGWAPP1085PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,90.03885667,90.23213866,96.82610629,CGWAPP155PD.hq.huskyenergy.com,CGWAPP155PD,Memory Utilization,Baseline,CGWAPP155PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,76.89065732,82.42485455,97.16779318,CGWAPP189PD.hq.huskyenergy.com,CGWAPP189PD,Memory Utilization,Baseline,CGWAPP189PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,30.89963622,48.73021596,99.95116582,CGWAPP214PD.hq.huskyenergy.com,CGWAPP214PD,Memory Utilization,Baseline,CGWAPP214PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,60.39321061,66.10091579,79.76629576,CGWAPP301PD.hq.huskyenergy.com,CGWAPP301PD,Memory Utilization,Baseline,CGWAPP301PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,43.95264076,54.38278184,65.7309316,CGWAPP516PD.hq.huskyenergy.com,CGWAPP516PD,Memory Utilization,Baseline,CGWAPP516PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,74.58357932,85.5596534,89.22060544,CGWAPP548PD.hq.huskyenergy.com,CGWAPP548PD,Memory Utilization,Baseline,CGWAPP548PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,53.16802201,66.31052052,99.90233164,CGWAPP577PD.hq.huskyenergy.com,CGWAPP577PD,Memory Utilization,Baseline,CGWAPP577PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
