"WELL_LOCATION","SINGLE_WELL_BATTERY","GAS_OIL_RATIO","TRUCKED_OIL","MTD_DATE","ERROR"
"112123206404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"114022806404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"115052906404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"1D0100704606W402","N","0","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"1S0022806404W400","N","0.04982","56.85727272727272727272727272727272727273","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"102162906404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"106052906404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"116052906404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"107163206404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"104152806404W402","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"116163206404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"116022806404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"104042906404W400","N","0.04982","0.6663636363636363636363636363636363636364","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"104073206404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"113042906404W400","N","0.04982","32.92727272727272727272727272727272727273","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"111052906404W400","N","0.04982","31.83","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"101070105125W302","N","0","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"107043206404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"100102806404W400","N","0.04982","29.72181818181818181818181818181818181818","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"103152806404W400","N","0.04982","54.18363636363636363636363636363636363636","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"121123206404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"107153206404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"109070604923W300","N","0.01933","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"114161706404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"110042906404W400","N","0.04982","29.39454545454545454545454545454545454545","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"104122906404W400","N","0.04982","12.26545454545454545454545454545454545455","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"107123206404W400","N","0.04982","22.34727272727272727272727272727272727273","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"102161706404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"114132906404W400","N","0.03564","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"103052906404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"105102806404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"100040804910W403","N","0","0","05-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"112163206404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"117123206404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"117072806404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"104022806404W400","N","0.04982","38.63727272727272727272727272727272727273","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"117022806404W400","N","0.04982","0","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
"110123206404W400","N","0.04982","13.88727272727272727272727272727272727273","09-MAY-18","REQUIRED_FIELD_MISSING:Required fields are missing: [Well_ID__c]
Error fields: Well_ID__c "
