"ID","WELL_LOCATION","SINGLE_WELL_BATTERY","GAS_OIL_RATIO","SUM(WBT.PRORATED_OIL)","MAX(WBT.PRODUCTION_DATE)","STATUS"
"a8k16000000g0bWAAQ","1B0141704506W400","N","0.14633","0","08-MAY-18","Item Updated"
"a8k16000000g00MAAQ","1B0141404506W400","N","0.01875","6.83","08-MAY-18","Item Updated"
"a8k16000000g0aJAAQ","1B0133204506W400","N","0.00908","15.48","08-MAY-18","Item Updated"
"a8k16000000g0hQAAQ","1B0132804506W400","N","0.04015","5.72","08-MAY-18","Item Updated"
"a8k16000000g0DKAAY","1B0132204506W400","N","0.04675","3.73","08-MAY-18","Item Updated"
"a8k16000000g0rdAAA","1B0132104506W400","N","0.03669","10.42","08-MAY-18","Item Updated"
"a8k16000000fzwrAAA","1B0130504606W400","N","0.00748","11.27","08-MAY-18","Item Updated"
"a8k16000000g0aGAAQ","1B0123204506W400","N","0.0039","0","08-MAY-18","Item Updated"
"a8k16000000g0V7AAI","1B0123004704W400","N","0.08033","7.71","08-MAY-18","Item Updated"
"a8k16000000g0mCAAQ","1B0122904506W400","N","0.01578","8.65","08-MAY-18","Item Updated"
"a8k16000000g0mSAAQ","1B0122004506W400","N","0.05136","14.86","08-MAY-18","Item Updated"
"a8k16000000g0gbAAA","1B0121904506W400","N","0.00235","8.18","08-MAY-18","Item Updated"
"a8k16000000g0K1AAI","1B0121504506W400","N","0.04048","20.97","08-MAY-18","Item Updated"
"a8k16000000g00KAAQ","1B0121404506W400","N","0.05339","9.19","08-MAY-18","Item Updated"
"a8k16000000g0aEAAQ","1B0113204506W400","N","0.02221","7.98","08-MAY-18","Item Updated"
"a8k16000000g0AxAAI","1B0113004506W400","N","0.07096","9.42","08-MAY-18","Item Updated"
"a8k16000000g0hMAAQ","1B0112804506W400","N","0.02921","4.9","08-MAY-18","Item Updated"
"a8k16000000g0EtAAI","1B0112704506W400","N","0.0488","4.91","08-MAY-18","Item Updated"
"a8k16000000g0DGAAY","1B0112204506W400","N","0.0244","0","08-MAY-18","Item Updated"
"a8k16000000g0rZAAQ","1B0112104506W400","N","0.03107","16.61","08-MAY-18","Item Updated"
"a8k16000000g0mQAAQ","1B0112004506W400","N","0.04183","9.95","08-MAY-18","Item Updated"
"a8k16000000fzBvAAI","1B0101104507W402","N","0","0","08-MAY-18","Item Updated"
"a8k16000000fzBxAAI","1B0100304606W403","N","0","0","08-MAY-18","Item Updated"
"a8k16000000g0aRAAQ","1B0093304506W400","N","0.02067","1.74","08-MAY-18","Item Updated"
"a8k16000000fzvRAAQ","1B0093204506W400","N","0.01665","5.37","08-MAY-18","Item Updated"
"a8k16000000g0m7AAA","1B0092904506W400","N","0.00235","9.03","08-MAY-18","Item Updated"
"a8k16000000g0hJAAQ","1B0092804506W400","N","0.02446","20.18","08-MAY-18","Item Updated"
"a8k16000000g0h4AAA","1B0092004506W400","N","0.05542","8.64","08-MAY-18","Item Updated"
"a8k16000000g0ArAAI","1B0083004506W400","N","0.00571","20.29","08-MAY-18","Item Updated"
"a8k16000000g0rWAAQ","1B0082104506W400","N","0.02333","11.76","08-MAY-18","Item Updated"
"a8k16000000fzwwAAA","1B0081804606W400","N","0.01827","10.97","08-MAY-18","Item Updated"
"a8k16000000g0VZAAY","1B0081704606W400","N","0.00737","11.89","08-MAY-18","Item Updated"
"a8k16000000g0KAAAY","1B0081604506W400","N","0.04411","9.54","08-MAY-18","Item Updated"
"a8k16000000g0JpAAI","1B0080504606W400","N","0.013","0","08-MAY-18","Item Updated"
"a8k16000000fzvNAAQ","1B0073204506W400","N","0.02628","6.48","08-MAY-18","Item Updated"
"a8k16000000g0mtAAA","1B0072904506W400","N","0.03077","5.86","08-MAY-18","Item Updated"
"a8k16000000g0hEAAQ","1B0072804506W400","N","0.0419","15.17","08-MAY-18","Item Updated"
"a8k16000000g0h0AAA","1B0072004506W400","N","0.07894","10.18","08-MAY-18","Item Updated"
"a8k16000000g01KAAQ","1B0071904704W400","N","0.08039","4.07","08-MAY-18","Item Updated"
"a8k16000000g0JmAAI","1B0070504606W400","N","0.01608","9.94","08-MAY-18","Item Updated"
"a8k16000000g0rtAAA","1B0063304506W400","N","0.0557","2.77","08-MAY-18","Item Updated"
"a8k16000000fzF7AAI","1B0062304606W403","N","0","0","07-MAY-18","Item Updated"
"a8k16000000g0N7AAI","1B0062304506W400","N","0.01463","4.22","08-MAY-18","Item Updated"
"a8k16000000g0mfAAA","1B0062104506W400","N","0.05053","10.97","08-MAY-18","Item Updated"
"a8k16000000g0VVAAY","1B0061704606W400","N","0.0004","9.07","08-MAY-18","Item Updated"
"a8k16000000g0rrAAA","1B0053304506W400","N","0.0244","3.62","08-MAY-18","Item Updated"
"a8k16000000fzvJAAQ","1B0053204506W400","N","0.02153","6.94","08-MAY-18","Item Updated"
"a8k16000000g0UwAAI","1B0053004704W400","N","0.0804","9.91","08-MAY-18","Item Updated"
"a8k16000000g0hBAAQ","1B0052804506W400","N","0.03508","21.82","08-MAY-18","Item Updated"
"a8k16000000g0mdAAA","1B0052104506W400","N","0.087","3.57","08-MAY-18","Item Updated"
"a8k16000000g0MhAAI","1B0050904606W400","N","0.03254","14.52","08-MAY-18","Item Updated"
"a8k16000000g0DDAAY","1B0043204506W400","N","0.02127","9.03","08-MAY-18","Item Updated"
"a8k16000000g0AmAAI","1B0043004506W400","N","0.00235","8.27","08-MAY-18","Item Updated"
"a8k16000000g0rmAAA","1B0042204506W400","N","0.0119","4.21","08-MAY-18","Item Updated"
"a8k16000000g0mbAAA","1B0042104506W400","N","0.07802","4.44","08-MAY-18","Item Updated"
"a8k16000000g0gwAAA","1B0042004506W400","N","0.05976","9.92","08-MAY-18","Item Updated"
"a8k16000000g0RyAAI","1B0041704606W400","N","0.00383","8.21","08-MAY-18","Item Updated"
"a8k16000000g0JvAAI","1B0041504506W400","N","0.0277","10.13","08-MAY-18","Item Updated"
"a8k16000000g0HDAAY","1B0040404606W400","N","0.01445","2.44","08-MAY-18","Item Updated"
"a8k16000000g0mzAAA","1B0033304506W400","N","0.03938","0","08-MAY-18","Item Updated"
