"ID","WELL_LOCATION","SINGLE_WELL_BATTERY","GAS_OIL_RATIO","TRUCKED_OIL","MTD_DATE","STATUS"
"a8k16000000g1zuAAA","191160504823W300","Y","0.34003","3.01545454545454545454545454545454545455","10-MAY-18","Item Updated"
"a8k16000000g1zkAAA","191040604823W300","Y","0.28636","0","10-MAY-18","Item Updated"
"a8k16000000g1zZAAQ","111150304824W300","Y","0.12","0","10-MAY-18","Item Updated"
"a8k16000000g1y7AAA","111013005125W302","Y","0.78479","0","09-MAY-18","Item Updated"
"a8k16000000g13uAAA","191142104924W300","Y","0.35405","1.68","10-MAY-18","Item Updated"
"a8k16000000g1tsAAA","111011604922W304","Y","0.2923","0","10-MAY-18","Item Updated"
"a8k16000000g1s3AAA","112162705324W300","Y","0.008","0","10-MAY-18","Item Updated"
"a8k16000000g1s2AAA","142112305324W300","Y","0.008","0","10-MAY-18","Item Updated"
"a8k16000000g1GZAAY","111021404821W300","Y","0.06004","1.40090909090909090909090909090909090909","09-MAY-18","Item Updated"
"a8k16000000g10rAAA","111162305126W303","Y","0.32988","2.08090909090909090909090909090909090909","09-MAY-18","Item Updated"
"a8k16000000g11OAAQ","121123204823W303","Y","0.008","0","10-MAY-18","Item Updated"
"a8k16000000g13CAAQ","111100804922W300","Y","0.4823","1.64090909090909090909090909090909090909","09-MAY-18","Item Updated"
"a8k16000000fxUmAAI","111092605124W302","Y","0.0023","0","10-MAY-18","Item Updated"
