"ID","U_APPLICATION","EXTERNAL_ID","NAME","USED_FOR","HOST_NAME","MANUFACTURER","MODEL_ID","OS","OS_VERSION","SHORT_DESCRIPTION","SYS_CLASS_NAME","SYS_CREATED_ON","SYS_CREATED_BY","U_CMDB_CRITICALITY","STATUS"
"a8m6300000003BHAAY","Laboratory Information Management System Web - Analytical Services Lab Lloyd (LIMS ASL Web), Matrix Gemini LIMS ASL V5, Matrix Gemini LIMS SUN V5, Laboratory Information Management System Web - Sunrise (LIMS SUN Web)","CGWAPP697PD","CGWAPP697PD","Production","CGWAPP697PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","","Windows Server","2014-08-01 8:27","mid_husky","(5) Mission Critical","Item Updated"
"a8m6300000003KVAAY","Meridium APM Framework","CGWAPP699PD","CGWAPP699PD","Production","CGWAPP699PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","20150824 - Added related Application, as per data collected from recent patching","Windows Server","2014-07-23 9:38","mid_husky","(3) Business Important","Item Updated"
"a8m6300000003BeAAI","Modelogix (Cost Estimator)","CGWAPP702PD","CGWAPP702PD","Production","CGWAPP702PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2012 R2 Standard","6.3.9600","20150902 - Added related Application, confirmed environment is set as PROD, as per data collected from recent patching","Windows Server","2014-08-12 13:23","mid_husky","(1) Non-Critical","Item Updated"
"a8m6300000003MCAAY","HEIGISNitro","CGWAPP721PD","CGWAPP721PD","Production","CGWAPP721PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2012 R2 Standard","6.3.9600","HEIGIS Nitro Web Adaptor","Windows Server","2014-09-08 11:21","mid_husky","(3) Business Important","Item Updated"
"a8m6300000003FsAAI","HEIGISNitro, HEIGIS Map Services","CGWAPP722PD","CGWAPP722PD","Production","CGWAPP722PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2012 R2 Standard","6.3.9600","HEIGIS Nitro Map Services

Image Server Extension enabled","Windows Server","2014-09-08 11:22","mid_husky","(4) Business Critical","Item Updated"
"a8m63000000038ZAAQ","HEIGIS GeoServices, HEIGISNitro","CGWAPP723PD","CGWAPP723PD","Production","CGWAPP723PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2012 R2 Standard","6.3.9600","HEIGIS Nitro Geo Services","Windows Server","2014-09-08 11:22","mid_husky","(4) Business Critical","Item Updated"
"a8m6300000003LGAAY","HEIGISNitro, HEIGIS Geoprocessing Services","CGWAPP724PD","CGWAPP724PD","Production","CGWAPP724PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2012 R2 Standard","6.3.9600","HEIGIS Nitro Geoprocessing (GP) Server","Windows Server","2014-09-08 11:23","mid_husky","(3) Business Important","Item Updated"
"a8m6300000003I5AAI","SCADA -WELL CORP - RsLinx Classic Gateway CGWAPP725PD","CGWAPP725PD","CGWAPP725PD","Production","CGWAPP725PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","app:Oil2, Gas2, Thermal SCADA RSLinx



DC: Airdrie (DR)

","Windows Server","2014-08-22 15:38","mid_husky","(2) Productivity Important","Item Updated"
"a8m6300000004PdAAI","Exchange 2010","CGWAPP736PD","CGWAPP736PD","Production Support (PS)","CGWAPP736PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","as per INC0313486 - New Server for Exchange and Lync tools - app CI?","Windows Server","2014-09-08 13:42","mid_husky","(1) Non-Critical","Item Created"
"a8m6300000003IAAAY","ENVOY","CGWAPP741PD","CGWAPP741PD","Production","CGWAPP741PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","","Windows Server","2014-09-09 9:09","mid_husky","(2) Productivity Important","Item Updated"
"a8m6300000004PeAAI","Foreseer","CGWAPP742PD","CGWAPP742PD","Production","CGWAPP742PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard ","6.1","Foreseer Application Server -  See INC0314195

2016_confirmed_vcenter

","Windows Server","2014-11-25 15:27","macneis","(1) Non-Critical","Item Created"
"a8m6300000004PfAAI","Foreseer","CGWAPP743TS","CGWAPP743TS","Test","CGWAPP743TS","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard ","6.1","Foreseer Application Test Server. See INC0314195

2016_confirmed_vcenter

","Windows Server","2014-11-17 11:08","hashmm","(1) Non-Critical","Item Created"
"a8m6300000004PgAAI","","CGWAPP750PD","CGWAPP750PD","Production","CGWAPP750PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2012 R2 Standard","6.3.9600","","Windows Server","2014-09-26 10:50","mid_husky","(1) Non-Critical","Item Created"
"a8m6300000004PhAAI","","CGWAPP751PD","CGWAPP751PD","Production","CGWAPP751PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2012 R2 Standard","6.3.9600","","Windows Server","2014-09-26 10:51","mid_husky","(1) Non-Critical","Item Created"
"a8m6300000004PiAAI","","CGWAPP752PD","CGWAPP752PD","Production","CGWAPP752PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2012 R2 Standard","6.3.9600","","Windows Server","2014-09-26 10:51","mid_husky","(1) Non-Critical","Item Created"
